supplement_id,supplement_name,relation_type,condition_id,condition_name,confidence,extraction_method,source_url,evidence_text
calcium,Calcium,INDICATED_FOR,diabetes,Diabetes,0.9,condition,,"ments, alone or in combination with vitamin D, is associated with a lower risk of developing type 2 diabetes compared to lower calcium intake (14265, 16713). The mechanism of action is not entirely clear. In "
calcium,Calcium,INDICATED_FOR,hypertension,Hypertension,0.9,condition,,"s Evidence suggests that inadequate dietary intake of calcium can play a role in the development of hypertension, stroke, and cardiovascular disease (8817, 39449). Calcium might lower blood pressure by increasing"
calcium,Calcium,INDICATED_FOR,cancer,Cancer,0.9,condition,,"carbonate is the most potent antacid on a weight basis, followed by sodium bicarbonate (1843). Anti-cancer effects There is interest in using calcium for cancer prevention. Preliminary evidence suggests cal"
calcium,Calcium,INDICATED_FOR,inflammation,Inflammation,0.85,condition,,"k for pre-eclampsia found that daily supplementation with calcium 1500 mg may lower some markers of inflammation such as interleukin (IL)-2, IL-6, and interferon-gamma when compared with 500 mg daily, suggesting "
calcium,Calcium,INDICATED_FOR,cerebrovascular-accident,Cerebrovascular Accident,0.9,condition,,"gests that inadequate dietary intake of calcium can play a role in the development of hypertension, stroke, and cardiovascular disease (8817, 39449). Calcium might lower blood pressure by increasing renal s"
calcium,Calcium,INDICATED_FOR,cardiovascular-disease,Cardiovascular Disease,0.9,condition,,"nadequate dietary intake of calcium can play a role in the development of hypertension, stroke, and cardiovascular disease (8817, 39449). Calcium might lower blood pressure by increasing renal sodium excretion (12122). Ani"
calcium,Calcium,INDICATED_FOR,bone-health,Bone Health,0.9,llm,,"Calcium is essential for nerve transmission, muscle contraction, and is present mainly in bones and teeth."
calcium,Calcium,PREVENTS,colorectal-cancer,Colorectal Cancer,0.7,llm,,Preliminary evidence suggests calcium may have an antiproliferative effect on colorectal cancer cells.
calcium,Calcium,PREVENTS,type-2-diabetes,Type 2 Diabetes,0.8,llm,,Higher intake of calcium is associated with a lower risk of developing type 2 diabetes.
calcium,Calcium,PREVENTS,hypertension,Hypertension,0.75,llm,,Inadequate dietary intake of calcium can play a role in the development of hypertension.
calcium,Calcium,HELPS_WITH,bone-mineral-density,Bone Mineral Density,0.85,llm,,Supplemental calcium increases bone mineral density in individuals under 35 years old.
calcium,Calcium,HELPS_WITH,cholesterol-levels,Cholesterol Levels,0.7,llm,,Calcium may help to lower serum cholesterol levels by forming insoluble complexes with saturated fatty acids.
calcium,Calcium,MANAGES,premenstrual-syndrome,Premenstrual Syndrome,0.65,llm,,"Calcium levels may be lower during the premenstrual period, contributing to mood changes associated with PMS."
calcium,Calcium,INDICATED_FOR,renal-disease,Renal Disease,0.8,llm,,"Calcium can bind with phosphate in the gut, preventing its absorption in patients with renal disease."
calcium,Calcium,TREATS,alcohol-withdrawal-symptoms,Alcohol Withdrawal Symptoms,0.6,llm,,There is interest in using calcium to treat alcohol withdrawal symptoms.
iron,Iron,TREATS_DEFICIENCY,iron-deficiency-anemia,Iron Deficiency Anemia,0.95,deficiency,,"cells. This dosing strategy may also decrease oxidative stress and reduce adverse effects (103806). Iron deficiency anemia in early life seems to negatively affect behavioral and neural development (1093, 9962). Sig"
iron,Iron,TREATS_DEFICIENCY,of-deficiency,Of Deficiency,0.95,deficiency,," life seems to negatively affect behavioral and neural development (1093, 9962). Signs and symptoms of deficiency include microcytic and hypochromic anemia, lethargy, cognitive impairment, developmental delay, ame"
iron,Iron,INDICATED_FOR,anemia,Anemia,0.9,condition,,"ng strategy may also decrease oxidative stress and reduce adverse effects (103806). Iron deficiency anemia in early life seems to negatively affect behavioral and neural development (1093, 9962). Signs and "
iron,Iron,INDICATED_FOR,iron-deficiency-anemia,Iron Deficiency Anemia,0.9,llm,,Iron deficiency anemia in early life seems to negatively affect behavioral and neural development.
iron,Iron,HELPS_WITH,adhd,ADHD,0.8,llm,,Research suggests that children with ADHD are more likely to be iron deficient.
iron,Iron,RELIEVES,cough-induced-by-ace-inhibitors,Cough Induced By ACE Inhibitors,0.7,llm,,"Iron seems to reduce nitric oxide production, which might be clinically useful in the suppression of cough induced by ACE inhibitors."
iron,Iron,MANAGES,pregnancy,Pregnancy,0.8,llm,,Iron deficiency in pregnancy has been associated with adverse pregnancy outcomes and increased perinatal maternal mortality.
magnesium,Magnesium,TREATS_DEFICIENCY,magnesium-deficiency,Magnesium Deficiency,0.95,deficiency,,"ase, and potentiate the vasoactive properties of serotonin (6844, 12388). Anti-inflammatory effects Magnesium deficiency has been reported to be a trigger for inflammatory processes. A meta-analysis of 17 clinical trials"
magnesium,Magnesium,TREATS_DEFICIENCY,of-deficiency,Of Deficiency,0.95,deficiency,,"s calcium from bone. Since magnesium is an essential nutrient, the body may sacrifice bone in times of deficiency as a magnesium source to maintain homeostasis (12499, 12500). Magnesium deficiency might be a risk "
magnesium,Magnesium,INDICATED_FOR,diabetes,Diabetes,0.9,condition,,"or (TNF)-alpha (108727). Antidiabetic effects There is some evidence that magnesium plays a role in diabetes and metabolic syndrome (1168, 1183). In clinical research, oral magnesium has been reported to impr"
magnesium,Magnesium,INDICATED_FOR,hypertension,Hypertension,0.9,condition,,d concentration of magnesium and increased calcium to magnesium ratio has also been associated with hypertension (8092). There is also some evidence that hypertensive patients with hypomagnesemia usually require 
