supplement_id,supplement_name,relation_type,condition_id,condition_name,confidence,extraction_method,source_url,evidence_text
calcium,Calcium,INDICATED_FOR,diabetes,Diabetes,0.9,condition,,"ments, alone or in combination with vitamin D, is associated with a lower risk of developing type 2 diabetes compared to lower calcium intake (14265, 16713). The mechanism of action is not entirely clear. In "
calcium,Calcium,INDICATED_FOR,hypertension,Hypertension,0.9,condition,,"s Evidence suggests that inadequate dietary intake of calcium can play a role in the development of hypertension, stroke, and cardiovascular disease (8817, 39449). Calcium might lower blood pressure by increasing"
calcium,Calcium,INDICATED_FOR,cancer,Cancer,0.9,condition,,"carbonate is the most potent antacid on a weight basis, followed by sodium bicarbonate (1843). Anti-cancer effects There is interest in using calcium for cancer prevention. Preliminary evidence suggests cal"
calcium,Calcium,INDICATED_FOR,inflammation,Inflammation,0.85,condition,,"k for pre-eclampsia found that daily supplementation with calcium 1500 mg may lower some markers of inflammation such as interleukin (IL)-2, IL-6, and interferon-gamma when compared with 500 mg daily, suggesting "
calcium,Calcium,INDICATED_FOR,cerebrovascular-accident,Cerebrovascular Accident,0.9,condition,,"gests that inadequate dietary intake of calcium can play a role in the development of hypertension, stroke, and cardiovascular disease (8817, 39449). Calcium might lower blood pressure by increasing renal s"
calcium,Calcium,INDICATED_FOR,cardiovascular-disease,Cardiovascular Disease,0.9,condition,,"nadequate dietary intake of calcium can play a role in the development of hypertension, stroke, and cardiovascular disease (8817, 39449). Calcium might lower blood pressure by increasing renal sodium excretion (12122). Ani"
calcium,Calcium,INDICATED_FOR,bone-health,Bone Health,0.9,llm,,"Calcium is essential for nerve transmission, muscle contraction, and is present mainly in bones and teeth."
calcium,Calcium,HELPS_WITH,bone-mineral-density,Bone Mineral Density,0.85,llm,,Supplemental calcium increases bone mineral density in individuals under 35 years old.
iron,Iron,TREATS_DEFICIENCY,iron-deficiency-anemia,Iron Deficiency Anemia,0.95,deficiency,,"cells. This dosing strategy may also decrease oxidative stress and reduce adverse effects (103806). Iron deficiency anemia in early life seems to negatively affect behavioral and neural development (1093, 9962). Sig"
iron,Iron,TREATS_DEFICIENCY,of-deficiency,Of Deficiency,0.95,deficiency,," life seems to negatively affect behavioral and neural development (1093, 9962). Signs and symptoms of deficiency include microcytic and hypochromic anemia, lethargy, cognitive impairment, developmental delay, ame"
iron,Iron,INDICATED_FOR,anemia,Anemia,0.9,condition,,"ng strategy may also decrease oxidative stress and reduce adverse effects (103806). Iron deficiency anemia in early life seems to negatively affect behavioral and neural development (1093, 9962). Signs and "
iron,Iron,INDICATED_FOR,iron-deficiency-anemia,Iron Deficiency Anemia,0.9,llm,,Iron deficiency anemia in early life seems to negatively affect behavioral and neural development.
magnesium,Magnesium,TREATS_DEFICIENCY,magnesium-deficiency,Magnesium Deficiency,0.95,deficiency,,"ase, and potentiate the vasoactive properties of serotonin (6844, 12388). Anti-inflammatory effects Magnesium deficiency has been reported to be a trigger for inflammatory processes. A meta-analysis of 17 clinical trials"
magnesium,Magnesium,TREATS_DEFICIENCY,of-deficiency,Of Deficiency,0.95,deficiency,,"s calcium from bone. Since magnesium is an essential nutrient, the body may sacrifice bone in times of deficiency as a magnesium source to maintain homeostasis (12499, 12500). Magnesium deficiency might be a risk "
magnesium,Magnesium,INDICATED_FOR,diabetes,Diabetes,0.9,condition,,"or (TNF)-alpha (108727). Antidiabetic effects There is some evidence that magnesium plays a role in diabetes and metabolic syndrome (1168, 1183). In clinical research, oral magnesium has been reported to impr"
magnesium,Magnesium,INDICATED_FOR,hypertension,Hypertension,0.9,condition,,d concentration of magnesium and increased calcium to magnesium ratio has also been associated with hypertension (8092). There is also some evidence that hypertensive patients with hypomagnesemia usually require 
magnesium,Magnesium,INDICATED_FOR,osteoporosis,Osteoporosis,0.9,condition,,"ption of magnesium have also been associated with the development of various disease states such as osteoporosis, hypertension, atherosclerotic vascular disease, cardiomyopathy, diabetes, and stroke (8088, 8099, "
magnesium,Magnesium,INDICATED_FOR,depression,Depression,0.9,condition,," CNS blood flow (9473). Additionally, magnesium may have anticonvulsant actions in eclampsia due to depression of neuromuscular transmission, direct depressant effect on smooth muscle, and CNS depression (6844)"
magnesium,Magnesium,INDICATED_FOR,tumor,Tumor,0.9,condition,,"es not affect levels of serum interleukin (IL)-6, total antioxidant capacity, glutathione (GSH), or tumor necrosis factor (TNF)-alpha (108727). Antidiabetic effects There is some evidence that magnesium pl"
magnesium,Magnesium,INDICATED_FOR,inflammation,Inflammation,0.85,condition,,sol levels (2826). Additional research suggests low serum magnesium is related to low-grade chronic inflammation. Hypomagnesemia is associated with elevated serum concentrations of tumor necrosis factor-alpha and
magnesium,Magnesium,INDICATED_FOR,asthma,Asthma,0.85,condition,,"d that magnesium may improve permanent hearing threshold shifts (NIPTS) (1205, 60813). Pulmonary In asthma, intravenous administration of magnesium might cause bronchodilation (2003, 60889). Renal effects T"
magnesium,Magnesium,INDICATED_FOR,migraine,Migraine,0.9,condition,,"re thought to contribute to the possible effects of magnesium in relieving symptoms associated with migraine headaches, postoperative pain, neuropathic pain, erythromelalgia, Raynaud's Phenomenon, and other v"
