supplement_name,url,source_name,uses_text,evidence_rating,dosage_min_mg,dosage_max_mg,category,interactions_drugs,contraindications
Magnesium,https://www.mayoclinic.org/drugs-supplements/magnesium-sulfate-oral-route-topical-application-route-route-not-applicable/description/drg-20088513,mayo,Epsal Epsom Salt Rite Aid First Aid Epsom Salt Mag 2 Magnesium-Rougier,Unspecified,,,,[],[]
Magnesium,https://www.mayoclinic.org/drugs-supplements/calcium-oxybate-magnesium-oxybate-potassium-oxybate-and-sodium-oxybate-oral-route/description/drg-20492058,mayo,"Xywav Calcium oxybate, magnesium oxybate, potassium oxybate, and sodium oxybate combination is used to treat cataplexy (weak or paralyzed muscles) or excessive daytime sleepiness (EDS) in patients with narcolepsy. Narcolepsy is an uncontrollable desire for sleep or a sudden attack of deep sleep. This medicine is also used to treat idiopathic hypersomnia (IH). This medicine is available only under a restricted distribution program called Xywav® and Xyrem® REMS (Risk Evaluation and Mitigation Strategy) Program. You can only get it from one central pharmacy. This product is available in the following dosage forms: In deciding to use a medicine, the risks of taking the medicine must be weighed against the good it will do. This is a decision you and your doctor will make. For this medicine, the following should be considered:",Unspecified,,,,[],[]
Magnesium,https://www.mayoclinic.org/drugs-supplements/sodium-sulfate-magnesium-sulfate-and-potassium-chloride-oral-route/description/drg-20505144,mayo,"Sutab Sodium sulfate, magnesium sulfate, and potassium chloride combination is used to cleanse the colon (bowel) before a colonoscopy. This medicine is a laxative. It works by causing you to have diarrhea to clean your colon. Cleaning your colon will help your doctor see the inside of your colon more clearly during colonoscopy. This medicine is available only with your doctor's prescription. This product is available in the following dosage forms: In deciding to use a medicine, the risks of taking the medicine must be weighed against the good it will do. This is a decision you and your doctor will make. For this medicine, the following should be considered:",Unspecified,,,,[],[]
Magnesium,https://www.mayoclinic.org/drugs-supplements/sodium-picosulfate-magnesium-and-citric-acid-oral-route/description/drg-20075687,mayo,"Clenpiq Prepopik Citric acid, magnesium oxide, and sodium picosulfate combination is used to cleanse the colon (bowel) in preparation for a procedure called colonoscopy. This medicine is a laxative. It works by causing you to have diarrhea to clean your colon. Cleaning your colon will help your doctor see inside of it more clearly during colonoscopy. This medicine is available only with your doctor's prescription. This product is available in the following dosage forms:",Unspecified,,,,[],[]
Magnesium,https://www.mayoclinic.org/drugs-supplements/sodium-sulfate-potassium-sulfate-and-magnesium-sulfate-oral-route/description/drg-20405981,mayo,"ColPrep Kit Suprep Bowel Prep Kit Sodium sulfate, potassium sulfate, and magnesium sulfate combination is used to cleanse the colon (bowel) before a colonoscopy. This medicine is a laxative. It works by causing you to have diarrhea to clean your colon. Cleaning your colon will help your doctor see the inside of your colon more clearly during colonoscopy. This medicine is available only with your doctor's prescription. This product is available in the following dosage forms:",Unspecified,,,,[],[]
Vitamin C,https://www.mayoclinic.org/drugs-supplements/ascorbic-acid-oral-route/description/drg-20068031,mayo,Ascocid C-500 Cecon Cemill 1000 Cemill 500,Unspecified,,,,[],[]
Vitamin A,https://www.mayoclinic.org/drugs-supplements/beta-carotene-oral-route/description/drg-20066795,mayo,"A-Caro-25 Lumitene Vitamins are compounds that you must have for growth and health. They are needed in small amounts only and are usually available in the foods that you eat. Beta-carotene is converted in the body to vitamin A, which is necessary for healthy eyes and skin. A lack of vitamin A may cause a rare condition called night blindness (problems seeing in the dark). It may also cause dry eyes, eye infections, skin problems, and slowed growth. Your health care professional may treat these problems by prescribing either beta-carotene, which your body can change into vitamin A, or vitamin A for you. Some conditions may increase your need for vitamin A. These include:",Unspecified,,,,[],[]
Vitamin A,https://www.mayoclinic.org/drugs-supplements/vitamin-a-oral-route-intramuscular-route/description/drg-80000155,mayo,"Aquasol A Palmitate-A Vitamins are compounds that you must have for growth and health. They are needed in small amounts only and are usually available in the foods that you eat. Vitamin A is needed for night vision and for growth of skin, bones, and male and female reproductive organs. In pregnant women vitamin A is necessary for the growth of a healthy fetus. Lack of vitamin A may lead to a rare condition called night blindness (problems seeing in the dark), as well as dry eyes, eye infections, skin problems, and slowed growth. Your health care professional may treat these problems by prescribing vitamin A for you. Some conditions may increase your need for vitamin A. These include:",Unspecified,,,,[],[]
Vitamin A,https://www.mayoclinic.org/drugs-supplements/vitamin-e-oral-route/description/drg-20068918,mayo,Alpha-E Aqua Gem-E Aquasol E D-Alpha Gems E-400,Unspecified,,,,[],[]
Vitamin C,https://www.mayoclinic.org/drugs-supplements/ascorbic-acid-intravenous-route/description/drg-20406580,mayo,"Ascor Ascorbic acid injection is used to treat scurvy (Vitamin C deficiency) in patients who cannot take the medicine by mouth. It is used for short term treatment (up to 1 week) only. This medicine is to be given by or under the direct supervision of your doctor. This product is available in the following dosage forms: In deciding to use a medicine, the risks of taking the medicine must be weighed against the good it will do. This is a decision you and your doctor will make. For this medicine, the following should be considered:",Unspecified,,,,[],[]
